Site,SRR7666488,SRR7666480,SRR7666591,SRR7666498,SRR7666581,SRR7666588,SRR7666487,SRR7666500,SRR7666592,SRR7666589,SRR7666595,SRR7666482,SRR7666494,SRR7666490,SRR7666354,SRR7666485,SRR7666497,SRR7666355,SRR7666358,SRR7666351,SRR7666586,SRR7666483,SRR7666357,SRR7666352,SRR7666484,SRR7666348,SRR7666583,SRR7666599,SRR7666495,SRR7666596,SRR7666347,SRR7666481,start,end
chr14_23566419_23567110,,,1.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,chr14_23566419,chr14_23567110
chr14_23566686_23567110,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,chr14_23566686,chr14_23567110
chr14_23567315_23567738,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,chr14_23567315,chr14_23567738
chr14_23567319_23567738,,,,,,,,4.0,,,,,,1.0,,,,,,,,10.0,,,,,,,,,,4.0,chr14_23567319,chr14_23567738
chr14_23960003_23967210,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,13.0,,chr14_23960003,chr14_23967210
chr14_23966417_23967210,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,chr14_23966417,chr14_23967210
chr14_24094845_24096891,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr14_24094845,chr14_24096891
chr14_24094434_24096891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,chr14_24094434,chr14_24096891
chr14_23941158_24114721,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,chr14_23941158,chr14_24114721
chr14_24084745_24114721,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,chr14_24084745,chr14_24114721
chr14_24181617_24182791,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,chr14_24181617,chr14_24182791
chr14_24182403_24182791,,,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,chr14_24182403,chr14_24182791
chr14_24182838_24182975,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,chr14_24182838,chr14_24182975
chr14_24182842_24182975,,,,,,5.0,,,,,,,,,,,,,,,,9.0,,,,,1.0,,,,,,chr14_24182842,chr14_24182975
chr14_24218431_24232249,,,,,12.0,,,,,7.0,,11.0,,18.0,,,,,19.0,,,,12.0,,,74.0,,,25.0,,,26.0,chr14_24218431,chr14_24232249
chr14_24231737_24232249,,,,,,,,,,,,,,,,,,,,,,3.0,,36.0,,,,,,,,,chr14_24231737,chr14_24232249
chr14_24232977_24233218,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,chr14_24232977,chr14_24233218
chr14_24232788_24233218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,chr14_24232788,chr14_24233218
chr14_24233598_24235736,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,6.0,,,,62.0,,chr14_24233598,chr14_24235736
chr14_24234241_24235736,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,chr14_24234241,chr14_24235736
chr14_24440926_24442177,,,,,,,,,,,,21.0,7.0,,,,,,,,,,,,,,,,,,,,chr14_24440926,chr14_24442177
chr14_24441795_24442177,,,,11.0,3.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,chr14_24441795,chr14_24442177
chr14_32077053_32090501,7.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_32077053,chr14_32090501
chr14_32077435_32090501,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_32077435,chr14_32090501
chr14_34604268_34605595,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,chr14_34604268,chr14_34605595
chr14_34603471_34605595,,,,,,,,,,,,,1.0,,60.0,,,46.0,,,,,,,,,,,,,,,chr14_34603471,chr14_34605595
chr14_35023080_35028087,,,6.0,,,7.0,22.0,19.0,,19.0,,,15.0,,,,,,,,,,,,32.0,,,,,,,,chr14_35023080,chr14_35028087
chr14_35019074_35028087,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_35019074,chr14_35028087
chr14_35292552_35308913,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,chr14_35292552,chr14_35308913
chr14_35308088_35308913,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,3.0,,,,,chr14_35308088,chr14_35308913
chr14_35402534_35402770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,chr14_35402534,chr14_35402770
chr14_35402663_35402770,,,,41.0,,3.0,,,23.0,,11.0,,35.0,,87.0,17.0,62.0,299.0,587.0,193.0,13.0,72.0,143.0,102.0,209.0,,,53.0,73.0,99.0,215.0,85.0,chr14_35402663,chr14_35402770
chr14_35402060_35403149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,chr14_35402060,chr14_35403149
chr14_35402859_35403149,,1.0,,41.0,,,,5.0,33.0,,,,16.0,,109.0,18.0,10.0,284.0,547.0,171.0,25.0,,239.0,32.0,181.0,,,10.0,94.0,112.0,353.0,9.0,chr14_35402859,chr14_35403149
chr14_37227838_37247102,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,chr14_37227838,chr14_37247102
chr14_37198104_37247102,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,chr14_37198104,chr14_37247102
chr14_37240569_37247102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,chr14_37240569,chr14_37247102
chr14_39055296_39061764,,8.0,,,,,12.0,,,,,,,,,,,,,29.0,,,15.0,32.0,,,,,,,,,chr14_39055296,chr14_39061764
chr14_39055244_39061764,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,chr14_39055244,chr14_39061764
chr14_39175392_39176077,,,,7.0,3.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,chr14_39175392,chr14_39176077
chr14_39175863_39176077,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,chr14_39175863,chr14_39176077
chr14_39319291_39326863,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,chr14_39319291,chr14_39326863
chr14_39321056_39326863,1.0,,,,,,,8.0,,,4.0,,,,,,,,,41.0,,,,,,,,,,,,,chr14_39321056,chr14_39326863
chr14_49577853_49585949,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,chr14_49577853,chr14_49585949
chr14_49583675_49585949,,3.0,,,,,,,,12.0,6.0,,,5.0,,,,12.0,22.0,,,,15.0,,,36.0,1.0,2.0,,,,,chr14_49583675,chr14_49585949
chr14_49806133_49814753,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,chr14_49806133,chr14_49814753
chr14_49814050_49814753,,,,,,,,,,,2.0,,9.0,,,,,,,,,,,,,,,,,,,,chr14_49814050,chr14_49814753
chr14_49828807_49829053,10.0,18.0,,,,,,,,,,,3.0,,,2.0,,,,,,,4.0,,,,,,13.0,,,,chr14_49828807,chr14_49829053
chr14_49828787_49829053,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,chr14_49828787,chr14_49829053
chr14_49833467_49834362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,chr14_49833467,chr14_49834362
chr14_49833496_49834362,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,chr14_49833496,chr14_49834362
chr14_49834449_49838138,8.0,29.0,,,,,,,,,8.0,,2.0,,,,,,,,,17.0,,,,107.0,4.0,,52.0,,,,chr14_49834449,chr14_49838138
chr14_49837483_49838138,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,chr14_49837483,chr14_49838138
chr14_49846265_49851562,8.0,,,,,,,,,9.0,6.0,,,,,,,,,,,11.0,,,,85.0,,,26.0,,,,chr14_49846265,chr14_49851562
chr14_49849752_49851562,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_49849752,chr14_49851562
chr14_50161609_50180571,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,chr14_50161609,chr14_50180571
chr14_50174552_50180571,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,chr14_50174552,chr14_50180571
chr14_52543630_52544263,,,10.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,chr14_52543630,chr14_52544263
chr14_52543484_52544263,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,chr14_52543484,chr14_52544263
chr14_52718142_52718976,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,chr14_52718142,chr14_52718976
chr14_52718352_52718976,,,,,3.0,,16.0,,5.0,,,,,,,,,,,,,,1.0,,16.0,,3.0,,,,,,chr14_52718352,chr14_52718976
chr14_52719038_52721109,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_52719038,chr14_52721109
chr14_52720981_52721109,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,11.0,,1.0,,,3.0,,,chr14_52720981,chr14_52721109
chr14_53091932_53103682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,chr14_53091932,chr14_53103682
chr14_53093444_53103682,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_53093444,chr14_53103682
chr14_54430404_54436368,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_54430404,chr14_54436368
chr14_54432220_54436368,,,,,18.0,15.0,23.0,,,,5.0,16.0,13.0,,,,,56.0,122.0,,3.0,,36.0,,,63.0,6.0,8.0,,3.0,97.0,18.0,chr14_54432220,chr14_54436368
chr14_55601880_55612018,,,,,,,,,,,,2.0,,1.0,,,,,,31.0,,,,,,,,,,,,,chr14_55601880,chr14_55612018
chr14_55580354_55612018,,,1.0,5.0,,,,,,,,,,,,2.0,1.0,,,23.0,,,,,,,,,,,,,chr14_55580354,chr14_55612018
chr14_55673012_55675834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,chr14_55673012,chr14_55675834
chr14_55673255_55675834,,16.0,3.0,,,,,,,,,,12.0,,,16.0,,,,,,,,,,,,,,2.0,,,chr14_55673255,chr14_55675834
chr14_58267300_58273978,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,chr14_58267300,chr14_58273978
chr14_58267393_58273978,1.0,9.0,,,,3.0,4.0,,,,,,,,53.0,16.0,31.0,48.0,7.0,1.0,,,5.0,,7.0,5.0,,,,,16.0,,chr14_58267393,chr14_58273978
chr14_59188768_59263440,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,chr14_59188768,chr14_59263440
chr14_59188914_59263440,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,chr14_59188914,chr14_59263440
chr14_63283216_63290877,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_63283216,chr14_63290877
chr14_63284390_63290877,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_63284390,chr14_63290877
chr14_65084299_65093707,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,chr14_65084299,chr14_65093707
chr14_65078036_65093707,10.0,,,,,,3.0,,,,,4.0,,,,,,,,,3.0,,,,,,,,9.0,,,,chr14_65078036,chr14_65093707
chr14_65101572_65102303,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,chr14_65101572,chr14_65102303
chr14_65093815_65102303,,,2.0,,,,1.0,,,,5.0,7.0,2.0,,,,17.0,,,,,,,,,,,,,,,,chr14_65093815,chr14_65102303
chr14_67823627_67835079,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_67823627,chr14_67835079
chr14_67825577_67835079,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,37.0,,chr14_67825577,chr14_67835079
chr14_68878523_68879961,1.0,,,,15.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_68878523,chr14_68879961
chr14_68879069_68879961,16.0,,,,23.0,,57.0,9.0,24.0,2.0,,,,,,14.0,,,,,3.0,48.0,,,8.0,,17.0,,,,,,chr14_68879069,chr14_68879961
chr14_68882592_68884167,1.0,,,,,,65.0,,,,,,,,,,,,,,,38.0,,,,,,,,,,,chr14_68882592,chr14_68884167
chr14_68883055_68884167,21.0,,,,31.0,,40.0,,4.0,,,,,,,,,,,,,,,,41.0,,21.0,,,,,,chr14_68883055,chr14_68884167
chr14_69767251_69768137,,,,,,,,,,,,17.0,8.0,,,,,,,,,,,,,,,,,,,,chr14_69767251,chr14_69768137
chr14_69767255_69768137,17.0,51.0,3.0,,,,41.0,4.0,1.0,,14.0,10.0,15.0,23.0,,,,,12.0,29.0,,,10.0,31.0,13.0,,,,3.0,4.0,22.0,4.0,chr14_69767255,chr14_69768137
chr14_69767380_69768137,,,,,7.0,,38.0,,,,3.0,5.0,,,,,,,,30.0,10.0,,,25.0,,,5.0,,,2.0,,,chr14_69767380,chr14_69768137
chr14_69770042_69770466,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,9.0,,,chr14_69770042,chr14_69770466
chr14_69769251_69770466,,28.0,,11.0,,11.0,62.0,14.0,,,18.0,48.0,26.0,19.0,7.0,,,45.0,34.0,38.0,,9.0,15.0,63.0,21.0,,9.0,,8.0,,30.0,,chr14_69769251,chr14_69770466
chr14_69769847_69770466,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,chr14_69769847,chr14_69770466
chr14_70329236_70359518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,4.0,chr14_70329236,chr14_70359518
chr14_70342729_70359518,,,,18.0,,,,,,,,,17.0,,,,8.0,,,,,14.0,,21.0,,,,,2.0,,,,chr14_70342729,chr14_70359518
chr14_70353252_70359518,,,,,,,,,,,,,,,64.0,,,,,,,,8.0,,,,,,,,,,chr14_70353252,chr14_70359518
chr14_72954262_72955522,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,chr14_72954262,chr14_72955522
chr14_72954483_72955522,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,chr14_72954483,chr14_72955522
chr14_73148094_73170796,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_73148094,chr14_73170796
chr14_73148106_73170796,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,chr14_73148106,chr14_73170796
chr14_73904110_73904901,5.0,28.0,8.0,,8.0,,,,,,,,13.0,,,75.0,,,,,3.0,6.0,,44.0,,,,,,4.0,,,chr14_73904110,chr14_73904901
chr14_73898262_73904901,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,chr14_73898262,chr14_73904901
chr14_73921105_73923394,,11.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,chr14_73921105,chr14_73923394
chr14_73922206_73923394,,,,,,5.0,,,,,,,,,,45.0,,,,,5.0,,,,,,,,,,,,chr14_73922206,chr14_73923394
chr14_75279123_75279876,,,,12.0,,,18.0,,231.0,1.0,,,,28.0,,,,39.0,242.0,,,,,,,,,,,,,,chr14_75279123,chr14_75279876
chr14_75279306_75279876,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,chr14_75279306,chr14_75279876
chr14_75280128_75280559,48.0,,,226.0,8.0,,39.0,,504.0,43.0,10.0,,,46.0,,,,42.0,318.0,,,,12.0,,,,,,121.0,365.0,,19.0,chr14_75280128,chr14_75280559
chr14_75280428_75280559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,chr14_75280428,chr14_75280559
chr14_75661387_75663054,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,chr14_75661387,chr14_75663054
chr14_75661637_75663054,,,,,,,,,,,4.0,,,,,10.0,,,,,,,,,,,,,,,,,chr14_75661637,chr14_75663054
chr14_75985955_75988884,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_75985955,chr14_75988884
chr14_75985840_75988884,,,,,,,,,,,6.0,,,,,,,30.0,,,,,,,,15.0,,,,,12.0,,chr14_75985840,chr14_75988884
chr14_76782776_76786084,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_76782776,chr14_76786084
chr14_76783851_76786084,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,chr14_76783851,chr14_76786084
chr14_77462242_77464597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,chr14_77462242,chr14_77464597
chr14_77462759_77464597,,,,,,,22.0,11.0,,,,16.0,,28.0,,,,,,,,7.0,,,,,,,26.0,,,,chr14_77462759,chr14_77464597
chr14_77720828_77730987,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,chr14_77720828,chr14_77730987
chr14_77723277_77730987,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,4.0,13.0,,,,chr14_77723277,chr14_77730987
chr14_88596808_88607242,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,chr14_88596808,chr14_88607242
chr14_88603060_88607242,7.0,,,,,,,,,,,,,,,,,,5.0,,6.0,,11.0,,,,,,,,,,chr14_88603060,chr14_88607242
chr14_89955970_89956577,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,chr14_89955970,chr14_89956577
chr14_89955677_89956577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,chr14_89955677,chr14_89956577
chr14_89956800_89963107,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,,,,chr14_89956800,chr14_89963107
chr14_89955970_89963107,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,chr14_89955970,chr14_89963107
chr14_90397233_90400064,49.0,25.0,,37.0,,,2.0,19.0,7.0,6.0,,,,,,,,,,79.0,,37.0,41.0,,,,14.0,4.0,13.0,19.0,,,chr14_90397233,chr14_90400064
chr14_90399087_90400064,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,chr14_90399087,chr14_90400064
chr14_91125624_91157638,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,chr14_91125624,chr14_91157638
chr14_91147858_91157638,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_91147858,chr14_91157638
chr14_91173403_91175933,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_91173403,chr14_91175933
chr14_91173439_91175933,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,chr14_91173439,chr14_91175933
chr14_92025420_92033191,,,1.0,,,,,,,6.0,,,,,,,,,,34.0,,,20.0,,,,3.0,,,,,,chr14_92025420,chr14_92033191
chr14_92030776_92033191,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,chr14_92030776,chr14_92033191
chr14_92096137_92096673,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,chr14_92096137,chr14_92096673
chr14_92093831_92096673,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,chr14_92093831,chr14_92096673
chr14_92704361_92706482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,chr14_92704361,chr14_92706482
chr14_92704707_92706482,,,5.0,,4.0,,22.0,,,,,14.0,,,,,,,,38.0,,,37.0,,,,,,2.0,1.0,49.0,9.0,chr14_92704707,chr14_92706482
chr14_94062621_94081118,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_94062621,chr14_94081118
chr14_94079747_94081118,,,,19.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,21.0,,chr14_94079747,chr14_94081118
chr14_94110797_94111624,,,,,,,,,,,,,,,21.0,,,91.0,,35.0,,,,55.0,,,,,,,257.0,,chr14_94110797,chr14_94111624
chr14_94110978_94111624,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,chr14_94110978,chr14_94111624
chr14_94111773_94114850,,,,,,,,,,,,,,,182.0,,,325.0,,208.0,,,,,,,,,,,313.0,,chr14_94111773,chr14_94114850
chr14_94110797_94114850,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,66.0,,chr14_94110797,chr14_94114850
chr14_94114880_94115780,,,,,,,,,,,,,,,140.0,,,228.0,,118.0,,,,,,,,,,,215.0,,chr14_94114880,chr14_94115780
chr14_94111773_94115780,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,chr14_94111773,chr14_94115780
chr14_94110797_94115780,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,chr14_94110797,chr14_94115780
chr14_94383241_94390456,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,chr14_94383241,chr14_94390456
chr14_94388663_94390456,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_94388663,chr14_94390456
chr14_94612447_94614433,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,21.0,2.0,,17.0,chr14_94612447,chr14_94614433
chr14_94612539_94614433,,,9.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_94612539,chr14_94614433
chr14_94615084_94622340,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,chr14_94615084,chr14_94622340
chr14_94619468_94622340,,,47.0,,,21.0,,53.0,,,,,,,,,,,,,12.0,,,,,,96.0,36.0,42.0,23.0,,61.0,chr14_94619468,chr14_94622340
chr14_96525391_96527952,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,chr14_96525391,chr14_96527952
chr14_96527539_96527952,,25.0,,,6.0,1.0,,9.0,,,,,,,,,,,,,,31.0,3.0,,,,,,,1.0,,,chr14_96527539,chr14_96527952
chr14_96555947_96556174,,,,,,,,,,,,,1.0,,,,,,,,,19.0,,17.0,,,,,,,,,chr14_96555947,chr14_96556174
chr14_96555922_96556174,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr14_96555922,chr14_96556174
chr14_96556413_96562818,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,chr14_96556413,chr14_96562818
chr14_96560711_96562818,,,,,,1.0,,15.0,,,,,,,,,,,,,2.0,15.0,25.0,29.0,,,,,,,,5.0,chr14_96560711,chr14_96562818
chr15_101285801_101286907,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,18.0,,,,,,,,chr15_101285801,chr15_101286907
chr15_101286293_101286907,,,,,,,,,,,1.0,,,,64.0,,,,,45.0,,,,,,,,,,,,,chr15_101286293,chr15_101286907
chr15_101650161_101652270,,,,,,,16.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,chr15_101650161,chr15_101652270
chr15_101651773_101652270,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,chr15_101651773,chr15_101652270
chr15_24955062_24962113,,,,,2.0,,,,,,,,,,,,,48.0,,14.0,,,,,,,1.0,,,,,,chr15_24955062,chr15_24962113
chr15_24958868_24962113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,chr15_24958868,chr15_24962113
chr15_24967152_24967931,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,chr15_24967152,chr15_24967931
chr15_24962209_24967931,36.0,,6.0,,,,,,,,,,,6.0,,,,54.0,26.0,61.0,,,10.0,,,,15.0,,33.0,,,20.0,chr15_24962209,chr15_24967931
chr15_30431770_30470698,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,6.0,,,,,,chr15_30431770,chr15_30470698
chr15_30432116_30470698,,,,,,,19.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,chr15_30432116,chr15_30470698
chr15_32537006_32575916,27.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,chr15_32537006,chr15_32575916
chr15_32575668_32575916,,,,,,,24.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,chr15_32575668,chr15_32575916
chr15_34225650_34227692,,,10.0,,,22.0,,4.0,,11.0,,13.0,10.0,8.0,,30.0,,,,,,4.0,32.0,64.0,64.0,,3.0,6.0,,,,,chr15_34225650,chr15_34227692
chr15_34225658_34227692,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr15_34225658,chr15_34227692
chr15_34227846_34229752,,,,,,,,2.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,chr15_34227846,chr15_34229752
chr15_34228589_34229752,,21.0,16.0,4.0,,33.0,,,,7.0,,1.0,13.0,13.0,,23.0,,,,,,12.0,53.0,90.0,77.0,,,9.0,,,,,chr15_34228589,chr15_34229752
chr15_34385206_34385426,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,chr15_34385206,chr15_34385426
chr15_34385338_34385426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,chr15_34385338,chr15_34385426
chr15_36709961_36808323,,,,,4.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,chr15_36709961,chr15_36808323
chr15_36709288_36808323,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,chr15_36709288,chr15_36808323
chr15_39582752_39583987,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,chr15_39582752,chr15_39583987
chr15_39583692_39583987,61.0,,,,39.0,,36.0,,38.0,,4.0,,9.0,4.0,,,,,,,,20.0,,,,,,,,,,,chr15_39583692,chr15_39583987
chr15_39588218_39588958,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,chr15_39588218,chr15_39588958
chr15_39588699_39588958,43.0,,,,23.0,,24.0,,10.0,,4.0,,10.0,7.0,,,,,,,,7.0,,,1.0,,,,,7.0,,,chr15_39588699,chr15_39588958
chr15_40037002_40038281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,chr15_40037002,chr15_40038281
chr15_40037018_40038281,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,chr15_40037018,chr15_40038281
chr15_42244167_42260957,,,3.0,49.0,2.0,,,,,,9.0,2.0,,,,,,,,,2.0,,33.0,,30.0,,9.0,,11.0,,,5.0,chr15_42244167,chr15_42260957
chr15_42258990_42260957,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr15_42258990,chr15_42260957
chr15_42466114_42472235,,,,,4.0,3.0,,,,,,,,,,,,,,,,,26.0,,,,,,,,50.0,,chr15_42466114,chr15_42472235
chr15_42457158_42472235,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,chr15_42457158,chr15_42472235
chr15_43047289_43054741,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,chr15_43047289,chr15_43054741
chr15_43048491_43054741,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,chr15_43048491,chr15_43054741
chr15_43185879_43189198,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,chr15_43185879,chr15_43189198
chr15_43186233_43189198,,,,,,,,,,,2.0,25.0,,,,,,,,,,,,57.0,,,,,,,133.0,,chr15_43186233,chr15_43189198
chr15_43192803_43194414,,,,,,,,,,,,73.0,23.0,,,,,,,,,,32.0,28.0,,,,,,,101.0,,chr15_43192803,chr15_43194414
chr15_43194137_43194414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,chr15_43194137,chr15_43194414
chr15_43446590_43447365,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,chr15_43446590,chr15_43447365
chr15_43446910_43447365,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,chr15_43446910,chr15_43447365
chr15_43813357_43814500,,,,,,,,5.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,chr15_43813357,chr15_43814500
chr15_43809914_43814500,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,chr15_43809914,chr15_43814500
